epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6552,0.96034,3.18112,1.31255,0.01593,0.61861,0.30154,0.26158,0.58081,3.1545,0.96965,7.145e-05,7.145e-05,7.145e-05
2,63.1926,0.89298,2.79175,1.23301,0.02406,0.75122,0.30083,0.25944,0.70791,2.96495,0.9956,0.000155634,0.000155634,0.000155634
3,94.3498,0.84327,2.19629,1.21537,0.98528,0.23656,0.32337,0.27404,0.74302,2.657,1.032,0.00023812,0.00023812,0.00023812
4,125.571,0.8095,1.83084,1.19985,0.97995,0.16819,0.33986,0.27527,0.80953,2.62099,1.06305,0.000318909,0.000318909,0.000318909
5,156.154,0.86077,1.50898,1.19952,0.8977,0.29521,0.41964,0.32975,0.88442,2.50523,1.12953,0.000397999,0.000397999,0.000397999
6,187.337,0.81853,1.32835,1.17727,0.77915,0.42328,0.4293,0.3239,0.75674,1.97428,1.02896,0.000475393,0.000475393,0.000475393
7,217.602,0.79255,1.19254,1.18223,0.80042,0.5118,0.48167,0.34843,0.78868,1.59629,1.03841,0.000551088,0.000551088,0.000551088
8,248.301,0.83147,1.25963,1.18469,0.76997,0.48185,0.50671,0.37654,0.77841,1.6771,1.07129,0.000625086,0.000625086,0.000625086
9,278.443,0.88405,1.19821,1.25734,0.79281,0.47039,0.61877,0.43464,0.784,1.98435,1.05898,0.000697386,0.000697386,0.000697386
10,308.741,0.80674,1.04084,1.18098,0.92538,0.46139,0.69521,0.4776,0.88125,1.61313,1.13876,0.000767989,0.000767989,0.000767989
11,339.152,0.77767,1.05327,1.14299,0.8709,0.42802,0.69176,0.50644,0.8314,1.41899,1.13587,0.000836894,0.000836894,0.000836894
12,369.364,0.85166,1.20241,1.25491,0.88204,0.33627,0.60223,0.44535,0.95028,1.78021,1.19129,0.000904101,0.000904101,0.000904101
13,399.55,0.8377,1.03052,1.17863,0.59947,0.36852,0.45849,0.34488,1.01386,2.10458,1.32023,0.000969611,0.000969611,0.000969611
14,429.782,0.81716,1.08829,1.17488,0.61927,0.63355,0.62548,0.46734,0.88828,1.71188,1.221,0.00103342,0.00103342,0.00103342
15,461.616,0.78986,1.06264,1.16468,0.6772,0.5383,0.60355,0.4249,0.89729,1.67097,1.22761,0.00109554,0.00109554,0.00109554
16,493.547,0.82751,1.03204,1.20842,0.61878,0.45869,0.564,0.3671,1.04475,1.67336,1.2124,0.00115595,0.00115595,0.00115595
17,524.561,0.79741,0.96959,1.1326,0.6982,0.64489,0.67252,0.45297,0.98212,1.65965,1.17995,0.00120265,0.00120265,0.00120265
18,555.421,0.77379,0.93675,1.13456,0.65851,0.64383,0.65697,0.48908,0.92698,1.66972,1.14972,0.0011885,0.0011885,0.0011885
19,585.949,0.77436,0.91536,1.12085,0.70921,0.72436,0.72298,0.5084,0.8989,1.49098,1.14406,0.00117435,0.00117435,0.00117435
20,617.337,0.74091,0.87635,1.09505,0.75541,0.72048,0.7643,0.56716,0.92534,1.23715,1.20803,0.00116021,0.00116021,0.00116021
21,647.87,0.74079,0.89903,1.14044,0.69499,0.7829,0.79196,0.57142,0.96125,1.20171,1.24879,0.00114606,0.00114606,0.00114606
22,679.987,0.77074,0.95184,1.15592,0.76477,0.61622,0.74945,0.55742,0.92058,1.27789,1.18316,0.00113191,0.00113191,0.00113191
23,710.483,0.75855,0.88744,1.13054,0.77356,0.6845,0.76153,0.57955,0.89804,1.14152,1.1977,0.00111776,0.00111776,0.00111776
24,741.777,0.74407,0.86034,1.12625,0.7816,0.72722,0.76188,0.57802,0.8935,1.23155,1.23431,0.00110362,0.00110362,0.00110362
25,772.006,0.71425,0.90964,1.11936,0.71688,0.79062,0.7413,0.55686,0.85465,1.27292,1.20936,0.00108947,0.00108947,0.00108947
26,802.696,0.75106,0.89622,1.11434,0.74538,0.711,0.78594,0.55628,0.89304,1.26053,1.21579,0.00107532,0.00107532,0.00107532
27,833.407,0.71265,0.80226,1.07352,0.64376,0.78022,0.77316,0.54734,0.86981,1.37412,1.20503,0.00106118,0.00106118,0.00106118
28,863.899,0.74526,0.79676,1.12484,0.61881,0.85228,0.75593,0.53427,0.87428,1.31973,1.19828,0.00104703,0.00104703,0.00104703
29,894.881,0.67967,0.79452,1.08249,0.7016,0.65939,0.71903,0.51878,0.86926,1.242,1.17617,0.00103288,0.00103288,0.00103288
30,925.044,0.73124,0.80256,1.08947,0.72268,0.70825,0.72182,0.52644,0.98892,1.20945,1.3501,0.00101873,0.00101873,0.00101873
31,955.392,0.66441,0.73838,1.05616,0.70264,0.70301,0.75069,0.54717,0.97879,1.2067,1.29984,0.00100459,0.00100459,0.00100459
32,985.775,0.70705,0.79341,1.08571,0.64051,0.74203,0.75065,0.57094,0.89629,1.30373,1.17329,0.00099044,0.00099044,0.00099044
33,1015.89,0.70531,0.76084,1.09369,0.71405,0.75384,0.745,0.57432,0.82996,1.26937,1.15409,0.000976293,0.000976293,0.000976293
34,1046.09,0.66565,0.724,1.05759,0.70166,0.70351,0.73853,0.54643,0.8338,1.21128,1.15252,0.000962146,0.000962146,0.000962146
35,1076.15,0.66313,0.75214,1.07257,0.74207,0.68361,0.74219,0.56106,0.86625,1.16763,1.15704,0.000947999,0.000947999,0.000947999
36,1106.26,0.65908,0.73438,1.06867,0.66767,0.77593,0.7722,0.58205,0.85382,1.12489,1.13014,0.000933851,0.000933851,0.000933851
37,1136.71,0.68579,0.75961,1.09373,0.74813,0.68511,0.76869,0.58503,0.7955,1.06224,1.09348,0.000919704,0.000919704,0.000919704
38,1166.97,0.63072,0.68363,1.05484,0.77485,0.70892,0.75539,0.60399,0.74247,1.07368,1.05014,0.000905557,0.000905557,0.000905557
39,1199.21,0.64655,0.69219,1.05309,0.7471,0.78603,0.73549,0.57935,0.73157,1.02752,1.04894,0.00089141,0.00089141,0.00089141
40,1231.18,0.604,0.73293,1.02982,0.74818,0.72245,0.75855,0.56445,0.7671,0.95117,1.09802,0.000877263,0.000877263,0.000877263
41,1263.65,0.60068,0.68805,1.04015,0.7888,0.72646,0.77862,0.57912,0.8053,0.96817,1.1284,0.000863116,0.000863116,0.000863116
42,1294.22,0.61771,0.68243,1.04779,0.73715,0.83029,0.79354,0.58192,0.85027,0.98785,1.15532,0.000848969,0.000848969,0.000848969
43,1325.19,0.609,0.66148,1.02098,0.77011,0.84006,0.79008,0.5682,0.8506,1.01651,1.15274,0.000834822,0.000834822,0.000834822
44,1355.49,0.62467,0.66203,1.0433,0.85618,0.81041,0.82154,0.633,0.7993,0.92761,1.10965,0.000820675,0.000820675,0.000820675
45,1385.81,0.6394,0.68784,1.05723,0.87165,0.82617,0.82992,0.64452,0.74884,0.88031,1.07304,0.000806528,0.000806528,0.000806528
46,1416.03,0.57572,0.61955,1.00286,0.83055,0.86377,0.84385,0.66304,0.73182,0.84039,1.0778,0.00079238,0.00079238,0.00079238
47,1447.45,0.65422,0.66781,1.07356,0.75062,0.84072,0.84388,0.66522,0.75744,0.85101,1.10195,0.000778233,0.000778233,0.000778233
48,1477.41,0.6003,0.64499,1.038,0.79224,0.83889,0.8413,0.64403,0.77606,0.87479,1.1595,0.000764086,0.000764086,0.000764086
49,1507.32,0.59298,0.71517,1.04825,0.79818,0.76706,0.81879,0.61346,0.79575,0.89152,1.17477,0.000749939,0.000749939,0.000749939
50,1537.29,0.59955,0.63274,1.01986,0.85227,0.72204,0.75199,0.56681,0.79506,0.91822,1.14421,0.000735792,0.000735792,0.000735792
51,1567.25,0.59693,0.65182,1.03466,0.7462,0.7716,0.74422,0.5593,0.80529,0.89639,1.15406,0.000721645,0.000721645,0.000721645
52,1597.33,0.57606,0.60934,1.00991,0.75837,0.75187,0.75846,0.57842,0.78879,0.87027,1.13592,0.000707498,0.000707498,0.000707498
53,1627.4,0.55276,0.60362,1.00287,0.6865,0.78218,0.75423,0.58688,0.77411,0.87406,1.11768,0.000693351,0.000693351,0.000693351
54,1657.45,0.57004,0.60769,1.02061,0.72444,0.81248,0.76341,0.58963,0.79335,0.90662,1.1343,0.000679204,0.000679204,0.000679204
55,1687.65,0.57184,0.58992,0.99897,0.78568,0.69498,0.74676,0.58169,0.83254,0.91534,1.16171,0.000665057,0.000665057,0.000665057
56,1717.76,0.56065,0.63365,1.04258,0.76557,0.69632,0.7459,0.59696,0.83492,0.91435,1.1625,0.000650909,0.000650909,0.000650909
57,1747.99,0.53568,0.56923,0.99173,0.76819,0.69632,0.73457,0.57479,0.83551,0.94427,1.16249,0.000636762,0.000636762,0.000636762
58,1778.24,0.52224,0.56561,0.9905,0.71504,0.79042,0.75691,0.58592,0.78282,0.93694,1.09908,0.000622615,0.000622615,0.000622615
59,1808.45,0.56103,0.59352,0.99997,0.78943,0.78218,0.77969,0.61435,0.76413,0.90453,1.08903,0.000608468,0.000608468,0.000608468
60,1839.03,0.55003,0.56442,0.99174,0.79386,0.77262,0.81383,0.62237,0.78607,0.8638,1.09939,0.000594321,0.000594321,0.000594321
61,1869.28,0.57023,0.59529,1.01685,0.77834,0.7927,0.82328,0.62939,0.78882,0.87131,1.10363,0.000580174,0.000580174,0.000580174
62,1899.78,0.5555,0.56306,1.0027,0.7382,0.80173,0.79375,0.60177,0.75354,0.84112,1.08265,0.000566027,0.000566027,0.000566027
63,1929.98,0.53285,0.53568,0.99187,0.68708,0.79795,0.77905,0.57985,0.73898,0.84693,1.06354,0.00055188,0.00055188,0.00055188
64,1960.22,0.5308,0.56528,0.99095,0.80605,0.76751,0.80278,0.60644,0.76705,0.85116,1.0743,0.000537733,0.000537733,0.000537733
65,1990.44,0.51066,0.5283,0.95325,0.8407,0.80481,0.81354,0.59122,0.76031,0.86674,1.07545,0.000523586,0.000523586,0.000523586
66,2020.63,0.52012,0.54267,0.99706,0.81252,0.81844,0.81367,0.62467,0.76398,0.8483,1.08324,0.000509438,0.000509438,0.000509438
67,2050.96,0.50424,0.52259,0.96989,0.84181,0.77549,0.82191,0.6424,0.72298,0.81423,1.06587,0.000495291,0.000495291,0.000495291
68,2081.08,0.49077,0.5107,0.97251,0.8662,0.76642,0.82439,0.65456,0.71615,0.79915,1.05545,0.000481144,0.000481144,0.000481144
69,2112.18,0.49308,0.51552,0.98048,0.86761,0.76929,0.81763,0.64648,0.69822,0.78604,1.04127,0.000466997,0.000466997,0.000466997
